party,name,riding,twitter_handle
Liberal,Marie-Claude Bibeau,Compton–Stanstead,mclaudebibeau
Liberal,Ian Bingham,Niagara West,liberalbingham
Liberal,Dave Birdi,Skeena–Bulkley Valley,
Liberal,Chris Bittle,St. Catharines,Chris_Bittle
Liberal,Bill Blair,Scarborough Southwest,BillBlair
Liberal,Kody Blois,Kings–Hants,
Liberal,Michelle Boileau,Timmins–James Bay,MicheBoileau
Liberal,Randy Boissonnault,Edmonton Centre,R_Boissonnault
Liberal,Mike Bossio,Hastings–Lennox and Addington,MikeBossio
Liberal,Michel Bourgeois,Joliette,
Liberal,Bob Bratina,Hamilton East–Stoney Creek,BobBratina
Liberal,Pierre Breton,Shefford,pierrebretonplc
Liberal,Amy Bronson,Lethbridge,AmyBronson
Liberal,Antoine Bujold,Beauport–Limoilou,AntoineBujold
Liberal,Tracy Calogheros,Cariboo–Prince George,TracyCalogheros
Liberal,Jim Carr,Winnipeg South Centre,jimcarr_wpg
Liberal,Sean Casey,Charlottetown,SeanCaseyLPC
Liberal,Bardish Chagger,Waterloo,BardishKW
Liberal,Simon Chalifoux,Pierre-Boucher–Les Patriotes–Verchères,SChalifouxPLC
Liberal,François-Philippe Champagne,Saint-Maurice–Champlain,FP_Champagne
Liberal,Shaun Chen,Scarborough North,Shaun_Chen
Liberal,Tammy Cook-Searson,Desnethé–Missinippi–Churchill River,ChiefTammy
Liberal,Michelle Corfield,Nanaimo–Ladysmith,micorfield
Liberal,Serge Cormier,Acadie–Bathurst,sergecormierlib
Liberal,Trisha Cowie,Parry Sound–Muskoka,trishacowie
Liberal,Julie Dabrusin,Toronto–Danforth,juliedabrusin
Liberal,Pam Damoff,Oakville North–Burlington,PamDamoff
Liberal,Matt DeCourcey,Fredericton,MattDeCourcey
Liberal,Michael Den Tandt,Bruce–Grey–Owen Sound,mdentandt
Liberal,Connie Denesiuk,South Okanagan–West Kootenay,ConnieGDenesiuk
Liberal,Cindy Derkaz,North Okanagan–Shuswap,CDerkaz
Liberal,Jason Deveau,West Nova,
Liberal,Sukh Dhaliwal,Surrey–Newton,sukhdhaliwal
Liberal,Anju Dhillon,Dorval–Lachine–LaSalle,adhillonDLL
Liberal,Francis Drouin,Glengarry–Prescott–Russell,Francis_Drouin
Liberal,Emmanuel Dubourg,Bourassa,EmmanuelDubourg
Liberal,Jean-Yves Duclos,Québec,jyduclos
Liberal,Terry Duguid,Winnipeg South,TerryDuguid
Liberal,Kirsty Duncan,Etobicoke North,KirstyDuncanMP
Liberal,Julie Dzerowicz,Davenport,JulieDzerowicz
Liberal,Wayne Easter,Malpeque,WayneEaster
Liberal,Ali Ehsassi,Willowdale,AliEhsassi
Liberal,Faycal El-Khoury,Laval–Les Îles,F_ElKhoury
Liberal,Kamal Elkadri,Edmonton Manning,
Liberal,Neil Ellis,Bay of Quinte,NeilREllis
Liberal,Nathaniel Erskine-Smith,Beaches–East York,beynate
Liberal,Doug Eyolfson,Charleswood–St. James–Assiniboia–Headingley,DougEyolfson
Liberal,Marc Faubert,Salaberry–Suroît,
Liberal,Winter Fedyk,Regina–Lewvan,winterfedyk
Liberal,Greg Fergus,Hull–Aylmer,GregFergus
Liberal,Andy Fillmore,Halifax,AndyFillmoreHFX
Liberal,Pat Finnigan,Miramichi–Grand Lake,PatFinniganMP
Liberal,Darren Fisher,Dartmouth–Cole Harbour,DarrenFisherNS
Liberal,Michele Fisher,Dufferin–Caledon,MicheleFisherDC
Liberal,Peter Fonseca,Mississauga East–Cooksville,PeterFonsecaMP
Liberal,Judi Forbes,Haliburton–Kawartha Lakes–Brock,forbeshklb
Liberal,Mona Fortier,Ottawa–Vanier,MonaFortier
Liberal,Peter Fragiskatos,London North Centre,pfragiskatos
Liberal,Sean Fraser,Central Nova,SeanFraserMP
Liberal,Chrystia Freeland,University–Rosedale,cafreeland
Liberal,Hedy Fry,Vancouver Centre,HedyFry
Liberal,Stephen Fuhr,Kelowna–Lake Country,FuhrMP
Liberal,Florence Gagnon,Rivière-du-Nord,FlorenceGagnon_
Liberal,Marc Garneau,Notre-Dame-de-Grâce–Westmount,MarcGarneau
Liberal,Mark Gerretsen,Kingston and the Islands,MarkGerretsen
Liberal,Gary Gladstone,Thornhill,Vote_Gladstone
Liberal,Ralph Goodale,Regina–Wascana,RalphGoodale
Liberal,Karina Gould,Burlington,karinagould
Liberal,David Graham,Laurentides–Labelle,daviddbgraham
Liberal,Steven Guilbeault,Laurier–Sainte-Marie,s_guilbeault
Liberal,Hassan Guillet,Saint-Léonard–Saint-Michel,
Liberal,Patricia Hajdu,Thunder Bay–Superior North,PattyHajdu
Liberal,Marie-Chantal Hamel,Beloeil–Chambly,HamelMarieC
Liberal,Jamie Hammond,Esquimalt–Saanich–Sooke,JamieHammondESS
Liberal,Ken Hardie,Fleetwood–Port Kells,KenHardie
Liberal,Laurence Harvey,Bellechasse–Les Etchemins–Lévis,Laurence_Harv
Liberal,Gerry Hawes,Simcoe North,hawes_gerry
Liberal,Susan Hayton,Saskatoon–University,
Liberal,Richard Hébert,Lac-Saint-Jean,RHebertPLC
Liberal,Kent Hehr,Calgary Centre,kenthehr
Liberal,Genevieve Hinse,Rosemont–La Petite-Patrie,GenevieveHinse
Liberal,Estelle Hjertaas,Prince Albert,ehjertaas
Liberal,Gordon Hogg,South Surrey–White Rock,GordieHogg
Liberal,Mark Holland,Ajax,markhollandlib
Liberal,Anthony Housefather,Mount Royal,AHousefather
Liberal,Ahmed Hussen,York South–Weston,HonAhmedHussen
Liberal,Gudie Hutchings,Long Range Mountains,Gudie
Liberal,Angelo Iacono,Alfred-Pellan,AIaconoMP
Liberal,Leon Jensen,Langley–Aldergrove,leoninlangley
Liberal,Kerrie Johnston,Edmonton West,KerrieLJohnston
Liberal,Mélanie Joly,Ahuntsic-Cartierville,melaniejoly
Liberal,Yvonne Jones,Labrador,YvonneJJones
Liberal,Bernadette Jordan,South Shore–St. Margarets,BernJordanMP
Liberal,Majid Jowhari,Richmond Hill,MajidJowhari
Liberal,Andrea Kaiser,Niagara Falls,votekaiser
Liberal,Todd Kathol,Calgary Rocky Ridge,KatholTodd
Liberal,Kayley Kennedy,Lanark–Frontenac–Kingston,kayleykennedyca
Liberal,Lorne Kenney,Simcoe–Grey,LorneKenney
Liberal,Iqra Khalid,Mississauga–Erin Mills,iamIqraKhalid
Liberal,Kamal Khera,Brampton West,KamalKheraLib
Liberal,Judy Klassen,Churchill–Keewatinook Aski,
Liberal,Terry Lake,Kamloops–Thompson–Cariboo,TerryLake16
Liberal,Emmauella Lambropoulos,Saint-Laurent,emlambropoulos
Liberal,David Lametti,LaSalle–Émard–Verdun,DavidLametti
Liberal,Kevin Lamoureux,Winnipeg North,Kevin_Lamoureux
Liberal,Linda Lapointe,Rivière-des-Mille-Îles,LapointeLinda
Liberal,Stephane Lauzon,Argenteuil–La Petite-Nation,stephanelauzon5
Liberal,Dominic LeBlanc,Beauséjour,DLeBlancNB
Liberal,Diane Lebouthillier,Gaspésie - Les Îles-de-la-Madeleine,DiLebouthillier
Liberal,Paul Lefebvre,Sudbury,LefebvrePaul
Liberal,Aladin Legault d'Auteuil,Montmagny–L'Islet–Kamouraska–Rivière-du-Loup,AladinLegault
Liberal,Carmen Lemieux,Sarnia–Lambton,lemieux_carmen
Liberal,Michael Levitt,York Centre,LevittMichael
Liberal,Joël Lightbound,Louis-Hébert,JoelLightbound
Liberal,Alaina Lockhart,Fundy Royal,AlainaLockhart
Liberal,Wayne Long,Saint John–Rothesay,WayneLongSJ
Liberal,Lloyd Longfield,Guelph,LloydLongfield
Liberal,Tim Louis,Kitchener–Conestoga,votetimlouis
Liberal,Karen Ludwig,New Brunswick Southwest,KarenLudwigMP
Liberal,Lawrence MacAulay,Cardigan,L_MacAulay
Liberal,Steve MacKinnon,Gatineau,stevenmackinnon
Liberal,Jennifer Malabar,Elmwood–Transcona,
Liberal,James Maloney,Etobicoke–Lakeshore,j_maloney
Liberal,Ruben D Marini,Renfrew–Nipissing–Pembroke,
Liberal,Soraya Martinez,Hochelaga,SorayaMartinezF
Liberal,Rémi Massé,Avignon–La Mitis–Matane–Matapédia,Remi_Masse1
Liberal,Bryan May,Cambridge,_BryanMay
Liberal,Karen McCrimmon,Kanata–Carleton,karenmccrimmon
Liberal,Ken McDonald,Avalon,avalonMPKen
Liberal,David McGuinty,Ottawa South,DavidMcGuinty
Liberal,John McKay,Scarborough–Guildwood,JohnMcKayLib
